,Country,Totalwithdrawal(km³/year),Per capitawithdrawal(m³/year),Domesticwithdrawal(%),Industrialwithdrawal(%),Agriculturalwithdrawal(%),Domesticwithdrawal,Industrialwithdrawal,Agriculturalwithdrawal
0,India,645.84,585.0,8.0,5.0,86.0,46.800000000000004,29.25,503.09999999999997
1,China,549.76,415.0,7.0,26.0,68.0,29.050000000000004,107.9,282.20000000000005
2,United States,477.0,331.4657534246575,13.0,46.0,41.0,43.09054794520548,152.47424657534248,135.9009589041096
3,Vietnam,169.39,331.4657534246575,2.0,2.0,96.0,6.629315068493151,6.629315068493151,318.2071232876712
4,Japan,88.43,690.0,20.0,18.0,62.0,138.0,124.19999999999999,427.8
5,Indonesia,82.78,372.0,8.0,1.0,91.0,29.76,3.72,338.52000000000004
6,Thailand,82.75,331.4657534246575,2.0,2.0,95.0,6.629315068493151,6.629315068493151,314.89246575342463
7,Uzbekistan,79.4,560.0,3.0,1.0,96.0,16.8,5.6000000000000005,537.6
8,Mexico,78.22,731.0,17.0,5.0,77.0,124.27000000000001,36.550000000000004,562.87
9,Russia,76.68,535.0,19.0,63.0,18.0,101.65,337.05,96.3
10,Iran,72.88,331.4657534246575,7.0,2.0,91.0,23.20260273972603,6.629315068493151,301.6338356164384
11,Pakistan,71.39,847.0,8.0,24.0,68.0,67.76,203.28,575.96
12,Egypt,68.3,923.0,8.0,6.0,86.0,73.84,55.379999999999995,793.78
13,Brazil,59.3,318.0,20.0,18.0,62.0,63.6,57.239999999999995,197.16
14,Bangladesh,58.34,331.4657534246575,5.0,2.0,93.0,16.573287671232876,6.629315068493151,308.26315068493153
15,Canada,44.72,331.4657534246575,20.0,69.0,12.0,66.2931506849315,228.71136986301366,39.7758904109589
16,Italy,42.7,331.4657534246575,3.0,5.0,92.0,9.943972602739725,16.573287671232876,304.94849315068495
17,Iraq,41.98,723.0,18.0,37.0,45.0,130.14,267.51,325.35
18,Turkey,39.78,544.0,15.0,11.0,74.0,81.6,59.84,402.56
19,Germany,38.01,460.0,12.0,68.0,20.0,55.199999999999996,312.8,92.0
20,Sudan,37.53,807.0,12.0,35.0,52.0,96.84,282.45,419.64
21,Spain,37.32,331.4657534246575,3.0,1.0,97.0,9.943972602739725,3.3146575342465754,321.5217808219178
22,Ukraine,37.22,864.0,13.0,19.0,68.0,112.32000000000001,164.16,587.5200000000001
23,Burma,35.0,331.4657534246575,2.0,17.0,82.0,6.629315068493151,56.349178082191784,271.8019178082192
24,Turkmenistan,33.23,658.0,1.0,1.0,98.0,6.58,6.58,644.84
25,Colombia,33.16,548.0,16.0,74.0,10.0,87.68,405.52,54.800000000000004
26,France,29.19,753.0,17.0,9.0,74.0,128.01000000000002,67.77,557.22
27,South Korea,28.52,343.0,17.0,9.0,74.0,58.31,30.869999999999997,253.82
28,Philippines,25.47,549.0,36.0,16.0,48.0,197.64,87.84,263.52
29,Australia,24.65,331.4657534246575,2.0,1.0,98.0,6.629315068493151,3.3146575342465754,324.83643835616436
30,Kazakhstan,24.06,331.4657534246575,15.0,10.0,75.0,49.71986301369863,33.14657534246575,248.59931506849313
31,Hungary,23.26,779.0,2.0,0.0,98.0,15.58,0.0,763.42
32,Afghanistan,21.03,331.4657534246575,9.0,59.0,32.0,29.831917808219174,195.56479452054793,106.06904109589041
33,Syria,20.13,720.0,8.0,10.0,82.0,57.6,72.0,590.4
34,Peru,19.95,331.4657534246575,3.0,2.0,95.0,9.943972602739725,6.629315068493151,314.89246575342463
35,Saudi Arabia,17.32,705.0,10.0,1.0,89.0,70.5,7.05,627.45
36,Azerbaijan,17.25,331.4657534246575,5.0,28.0,68.0,16.573287671232876,92.81041095890411,225.39671232876714
37,Ecuador,16.98,331.4657534246575,12.0,5.0,82.0,39.7758904109589,16.573287671232876,271.8019178082192
38,Madagascar,14.96,804.0,3.0,2.0,96.0,24.119999999999997,16.080000000000002,771.8399999999999
39,Sri Lanka,12.61,608.0,2.0,2.0,95.0,12.16,12.16,577.6
40,Morocco,12.6,400.0,10.0,3.0,87.0,40.0,12.0,348.0
41,Chile,12.55,770.0,11.0,25.0,64.0,84.7,192.5,492.8
42,Tajikistan,12.5,264.0,31.0,6.0,63.0,81.84,15.84,166.32
43,South Africa,11.96,331.4657534246575,4.0,5.0,92.0,13.258630136986302,16.573287671232876,304.94849315068495
44,United Kingdom,11.75,197.0,22.0,75.0,3.0,43.34,147.75,5.91
45,Argentina,11.73,304.0,13.0,8.0,79.0,39.52,24.32,240.16000000000003
46,Portugal,11.09,331.4657534246575,10.0,12.0,78.0,33.14657534246575,39.7758904109589,258.54328767123286
47,Poland,10.71,235.0,50.0,4.0,46.0,117.5,9.4,108.10000000000001
